citizen_severity,nearby_reports,disaster_type,population_density,distance_critical_infra,alert_intensity,people_affected,historical_risk,severity_score,severity_level
Medium,10,Urban Fire,5370,3.56,68,56,68,55.48,High
Low,9,Earthquake,3860,6.59,25,27,10,28.73,Moderate
Medium,20,Flood,7696,4.3,65,106,53,61.4,High
Low,4,Urban Fire,207,8.44,21,8,0,15.51,Low
High,30,Landslide,8260,1.28,98,167,71,87.58,Critical
High,28,Earthquake,9483,0.56,97,177,70,89.51,Critical
Low,5,Heatwave,2800,5.99,24,29,36,26.3,Moderate
Medium,21,Heatwave,6900,3.77,61,103,41,56.42,High
High,16,Earthquake,6499,2.21,86,145,69,71.25,Severe
High,15,Heatwave,6398,2.33,61,42,42,58.07,High
High,16,Landslide,4664,2.42,73,45,66,58.99,High
Low,9,Medical Emergency,2679,6.21,34,24,10,25.51,Moderate
High,25,Landslide,7329,0.79,87,150,71,81.51,Severe
Low,6,Medical Emergency,3615,5.49,26,33,11,29.22,Moderate
Low,0,Lightning,2129,6.75,23,9,1,16.67,Low
Medium,14,Earthquake,5318,3.26,39,22,41,46.36,Medium
Medium,7,Medical Emergency,4836,5.99,30,44,49,38.65,Medium
Low,4,Heatwave,1763,8.19,0,9,9,14.3,Low
High,12,Flood,7452,3.57,47,93,54,58.02,High
Medium,15,Urban Fire,3264,5.31,36,57,49,42.76,Medium
Medium,19,Cyclone,7777,2.56,75,82,71,66.21,High
Low,10,Heatwave,3974,8.15,33,16,21,30.92,Moderate
Low,4,Urban Fire,132,8.67,17,9,21,15.84,Low
Medium,8,Medical Emergency,5537,6.97,55,43,38,37.96,Medium
Low,1,Heatwave,2170,7.95,1,2,20,15.4,Low
High,27,Flood,7330,3.13,89,131,87,79.98,Severe
Low,10,Heatwave,2682,8.63,33,16,11,28.08,Moderate
High,26,Heatwave,9680,1.83,93,169,81,84.23,Critical
High,18,Landslide,7865,2.12,49,41,68,64.82,High
Medium,8,Lightning,3392,3.58,35,28,37,38.78,Medium
Low,2,Lightning,3146,7.82,17,8,18,21.65,Moderate
Low,10,Heatwave,3511,4.26,25,22,34,29.58,Moderate
High,30,Urban Fire,8639,0.86,81,199,92,90.13,Critical
Medium,20,Forest Fire,6839,2.92,64,67,50,58.68,High
Low,3,Earthquake,168,8.35,0,8,6,13.96,Low
High,30,Flood,8769,1.59,93,142,74,84.18,Critical
Low,2,Flood,542,7.53,1,15,7,14.77,Low
Low,1,Medical Emergency,1210,6.19,2,8,17,16.33,Low
High,27,Cyclone,6608,3.22,69,120,64,71.98,Severe
High,25,Earthquake,8014,1.09,68,108,61,78.59,Severe
Medium,7,Heatwave,4573,3.27,43,53,55,45.65,Medium
High,25,Lightning,9308,0.31,88,199,98,90.14,Critical
High,20,Urban Fire,4286,3.82,56,106,35,57.21,High
Medium,11,Flood,7615,5.7,70,64,47,53.13,High
Medium,6,Urban Fire,3425,3.01,60,59,50,44.16,Medium
Medium,13,Cyclone,2713,4.33,37,45,42,46.6,Medium
Medium,12,Lightning,3893,6.68,35,21,33,35.14,Medium
High,21,Urban Fire,6798,1.6,77,125,63,73.29,Severe
Medium,14,Earthquake,6457,3.3,65,89,43,57.4,High
High,27,Earthquake,8158,1.06,83,195,72,84.7,Critical
High,27,Urban Fire,9526,1.75,96,181,85,87.41,Critical
High,12,Flood,7434,2.07,48,62,53,56.56,High
Low,2,Medical Emergency,697,6.25,13,8,13,15.88,Low
Medium,15,Urban Fire,7252,2.95,47,116,74,59.18,High
Low,1,Urban Fire,340,8.1,2,1,24,12.12,Low
Medium,6,Earthquake,4964,3.82,58,27,31,46.67,Medium
High,30,Forest Fire,8120,1.56,88,182,79,86.58,Critical
High,29,Cyclone,9695,0.77,90,196,94,92.13,Critical
Low,5,Flood,2626,4.52,17,34,38,30.24,Moderate
Low,1,Heatwave,123,7.32,22,4,1,13.85,Low
High,28,Cyclone,7557,1.93,74,169,69,78.73,Severe
High,23,Forest Fire,6289,2.7,73,161,67,74.67,Severe
Medium,14,Landslide,5639,6.91,40,18,21,41.36,Medium
Low,2,Lightning,1214,8.1,8,2,15,16.01,Low
Medium,10,Medical Emergency,5339,3.54,35,18,37,39.2,Medium
Low,7,Urban Fire,3660,4.35,24,22,24,30.74,Moderate
Low,2,Medical Emergency,567,9.29,12,15,2,13.2,Low
High,26,Medical Emergency,7056,3.95,73,136,63,72.48,Severe
Medium,12,Landslide,3680,6.08,31,24,42,37.92,Medium
Low,10,Lightning,2075,4.43,31,18,34,32.99,Moderate
Medium,11,Flood,5352,4.48,35,43,35,46.56,Medium
High,28,Forest Fire,8868,3.08,89,102,86,79.68,Severe
Low,0,Urban Fire,1220,9.34,8,5,12,15.29,Low
Low,2,Heatwave,1807,8.42,2,6,14,13.57,Low
High,23,Forest Fire,9579,1.13,90,180,71,84.11,Critical
High,26,Forest Fire,8957,0.6,83,196,91,87.27,Critical
High,30,Flood,8621,1.02,82,167,70,84.03,Critical
Low,3,Medical Emergency,562,9.55,14,1,2,10.81,Low
Low,5,Lightning,577,6.56,1,9,15,16.0,Low
High,27,Lightning,7939,1.25,71,82,82,72.5,Severe
High,25,Cyclone,9186,1.09,90,145,83,85.48,Critical
Medium,21,Lightning,5827,4.58,73,109,74,63.43,High
Medium,11,Flood,4266,6.43,49,28,38,43.01,Medium
Medium,11,Earthquake,4292,3.44,62,65,56,51.23,High
Low,0,Flood,1865,7.8,17,13,3,15.94,Low
High,25,Lightning,6797,1.44,68,89,78,71.62,Severe
High,17,Medical Emergency,7296,0.9,86,132,71,71.72,Severe
Medium,10,Landslide,5815,5.97,30,63,60,43.97,Medium
Low,1,Lightning,2159,9.64,1,3,16,12.08,Low
Medium,7,Forest Fire,1761,6.12,15,23,25,32.01,Moderate
High,25,Flood,8189,2.72,80,91,76,76.34,Severe
Medium,18,Cyclone,7655,5.33,66,96,42,57.89,High
High,27,Forest Fire,8933,0.7,83,160,84,85.15,Critical
Medium,10,Urban Fire,5502,5.3,57,31,30,44.65,Medium
Medium,7,Cyclone,5261,4.97,33,40,48,42.58,Medium
Medium,11,Earthquake,6219,2.67,49,63,51,55.41,High
Low,1,Medical Emergency,1767,6.76,3,13,11,15.49,Low
High,16,Earthquake,7108,5.63,54,116,69,61.83,High
High,25,Heatwave,6086,1.59,70,130,67,69.07,Severe
High,24,Landslide,9395,0.23,85,172,98,85.96,Critical
High,17,Earthquake,6026,4.49,65,84,63,64.6,High
High,25,Cyclone,6396,1.24,90,80,79,75.93,Severe
High,26,Flood,8538,1.17,84,196,88,86.67,Critical
Medium,8,Medical Emergency,3229,4.55,34,44,32,37.35,Medium
High,24,Lightning,9372,0.11,96,188,96,85.08,Critical
Low,1,Heatwave,731,8.86,25,12,2,15.59,Low
High,26,Lightning,7452,3.69,83,129,55,73.16,Severe
Medium,15,Earthquake,7094,2.42,69,81,61,61.91,High
Medium,10,Flood,4300,5.69,33,26,42,42.75,Medium
Low,6,Heatwave,2052,4.07,18,24,15,29.02,Moderate
Medium,8,Landslide,3442,6.12,40,29,26,35.72,Medium
Medium,6,Lightning,3545,3.71,60,64,45,42.62,Medium
Low,2,Cyclone,1405,7.04,3,2,10,16.45,Low
Low,2,Lightning,2467,7.62,23,33,11,22.37,Moderate
Low,1,Medical Emergency,1898,6.04,21,9,6,16.19,Low
Low,5,Cyclone,1866,9.77,5,13,5,15.2,Low
High,18,Forest Fire,8500,2.62,69,152,86,71.51,Severe
High,21,Urban Fire,5191,2.15,57,102,67,65.75,High
Low,8,Earthquake,2332,5.81,23,10,27,28.71,Moderate
Low,2,Urban Fire,1846,9.83,7,12,20,14.62,Low
Low,0,Medical Emergency,808,9.8,5,6,25,9.74,Low
Medium,22,Flood,5529,4.16,50,71,69,59.75,High
Low,8,Forest Fire,1036,8.84,33,30,32,25.7,Moderate
High,20,Forest Fire,7479,2.83,77,158,58,75.68,Severe
High,27,Flood,9202,1.72,90,196,81,86.05,Critical
Medium,6,Forest Fire,3876,4.99,55,63,41,41.4,Medium
High,29,Flood,8946,1.72,95,156,87,87.09,Critical
Low,0,Lightning,495,8.98,11,4,17,11.47,Low
Medium,12,Heatwave,4823,3.53,55,34,30,46.92,Medium
High,10,Lightning,6625,4.69,65,46,55,53.69,High
Medium,8,Lightning,4147,4.01,46,44,55,41.83,Medium
High,25,Cyclone,8698,1.48,99,185,97,87.49,Critical
High,15,Landslide,8897,3.22,86,157,81,76.52,Severe
Low,0,Heatwave,2067,6.8,0,6,5,16.37,Low
High,26,Urban Fire,8503,1.13,83,160,64,78.99,Severe
Low,2,Lightning,513,8.65,8,4,13,16.74,Low
Low,2,Medical Emergency,1098,9.0,18,12,10,12.23,Low
High,10,Urban Fire,4471,2.57,59,64,75,57.13,High
Medium,9,Urban Fire,3555,7.51,23,6,21,29.43,Moderate
Low,4,Cyclone,3759,7.66,27,19,34,28.79,Moderate
High,29,Cyclone,9859,1.82,84,189,98,90.36,Critical
Medium,12,Urban Fire,3642,3.59,44,21,27,40.6,Medium
High,30,Urban Fire,8492,1.2,95,165,80,87.59,Critical
High,24,Urban Fire,7253,2.98,78,100,72,74.43,Severe
Medium,5,Cyclone,1815,6.3,39,8,26,33.6,Moderate
High,24,Heatwave,7329,3.95,85,81,77,67.75,Severe
Medium,4,Medical Emergency,4382,8.5,37,23,36,32.94,Moderate
High,20,Cyclone,6832,3.98,65,126,90,70.24,Severe
High,27,Earthquake,9243,0.83,86,175,81,90.01,Critical
Low,4,Medical Emergency,1187,9.87,25,7,23,14.17,Low
Medium,7,Earthquake,5740,6.39,49,39,30,40.49,Medium
High,10,Heatwave,7641,3.13,50,102,35,54.39,High
Low,2,Heatwave,1373,7.12,15,3,7,15.33,Low
Low,2,Lightning,428,9.41,21,12,10,16.77,Low
High,16,Earthquake,4377,2.25,73,56,65,61.31,High
Low,0,Lightning,1583,8.54,14,4,13,14.13,Low
High,15,Flood,7302,3.81,77,103,77,69.05,Severe
Medium,7,Landslide,3295,6.79,40,13,21,31.42,Moderate
High,17,Forest Fire,7569,1.97,80,148,89,74.65,Severe
Low,7,Earthquake,2018,4.79,17,26,29,29.89,Moderate
Low,0,Landslide,1006,9.53,21,10,10,15.79,Low
Low,2,Cyclone,3717,5.78,25,32,25,29.12,Moderate
Low,0,Heatwave,385,9.6,10,15,14,11.98,Low
Medium,19,Landslide,7442,3.0,48,100,50,62.18,High
Medium,5,Landslide,3667,3.84,38,36,59,43.46,Medium
High,16,Cyclone,5933,4.62,69,59,60,58.42,High
Medium,8,Cyclone,1499,8.87,37,12,22,31.93,Moderate
Medium,9,Cyclone,5143,6.87,49,17,23,40.95,Medium
Medium,11,Landslide,6115,4.33,71,86,64,53.42,High
High,12,Medical Emergency,6579,2.02,72,102,39,62.85,High
High,21,Medical Emergency,4761,2.97,70,45,38,54.71,High
Medium,7,Urban Fire,2329,8.22,28,29,30,30.44,Moderate
High,29,Cyclone,9720,1.52,96,159,93,86.73,Critical
High,16,Landslide,6260,3.0,90,148,66,71.08,Severe
High,28,Lightning,7035,2.92,81,148,79,77.68,Severe
Medium,7,Heatwave,2093,8.01,23,25,28,27.79,Moderate
Medium,9,Lightning,1000,7.63,24,24,10,27.93,Moderate
Low,1,Lightning,2089,7.93,12,1,5,16.03,Low
High,27,Cyclone,9891,0.43,83,187,82,85.95,Critical
High,26,Urban Fire,9523,1.03,87,178,99,86.85,Critical
High,26,Landslide,8200,0.19,92,184,76,84.74,Critical
Low,9,Cyclone,1433,5.92,17,18,22,25.56,Moderate
Medium,16,Forest Fire,6629,2.15,74,116,63,64.87,High
Medium,5,Heatwave,3694,5.12,59,19,52,37.89,Medium
Low,4,Medical Emergency,1079,7.1,2,9,7,14.1,Low
High,29,Earthquake,9699,1.62,89,165,80,89.42,Critical
High,13,Earthquake,6095,4.21,61,83,75,60.08,High
Medium,12,Earthquake,3475,5.4,54,66,40,46.79,Medium
Medium,12,Lightning,2758,6.17,50,34,51,41.27,Medium
Medium,12,Landslide,5273,2.25,65,52,36,52.18,High
High,29,Forest Fire,8350,1.59,91,166,92,85.82,Critical
High,20,Earthquake,6859,4.91,73,67,66,65.13,High
Medium,14,Lightning,3230,5.58,33,24,54,41.94,Medium
High,21,Urban Fire,9348,2.38,90,147,86,76.92,Severe
Medium,6,Landslide,4964,4.19,32,41,43,42.47,Medium
Medium,14,Lightning,5746,6.76,44,45,28,41.54,Medium
Medium,4,Medical Emergency,3128,7.65,30,20,35,26.75,Moderate
Medium,9,Lightning,4496,6.06,48,58,51,44.12,Medium
High,23,Forest Fire,9364,0.63,83,156,87,84.34,Critical
Medium,8,Urban Fire,3620,7.2,24,34,21,33.05,Moderate
High,15,Landslide,7174,1.9,84,167,63,73.4,Severe
High,20,Lightning,7950,3.95,87,92,79,68.77,Severe
High,27,Medical Emergency,9351,2.78,73,160,83,76.98,Severe
Low,2,Heatwave,1110,8.88,15,6,14,13.51,Low
High,17,Heatwave,4961,2.84,46,42,57,56.53,High
Low,0,Medical Emergency,633,9.61,17,0,24,13.97,Low
High,26,Earthquake,8108,1.03,80,185,81,86.29,Critical
Low,0,Lightning,1952,8.22,17,7,3,16.53,Low
High,29,Flood,9892,1.76,92,166,70,86.07,Critical
Low,5,Urban Fire,717,7.38,0,15,3,16.17,Low
High,19,Landslide,5584,2.71,69,41,42,59.9,High
Low,4,Medical Emergency,1362,8.89,12,8,0,16.0,Low
High,26,Urban Fire,8247,1.46,99,198,92,84.36,Critical
High,27,Heatwave,9979,1.63,99,190,76,84.56,Critical
High,27,Earthquake,6012,2.1,87,131,63,75.01,Severe
High,11,Cyclone,7020,2.9,67,94,39,63.9,High
Low,4,Medical Emergency,1636,7.14,32,33,20,23.08,Moderate
Medium,17,Medical Emergency,7626,3.55,53,112,73,57.96,High
High,24,Forest Fire,9953,1.47,93,187,83,86.44,Critical
Medium,14,Earthquake,5400,6.83,32,69,58,45.53,Medium
Medium,21,Medical Emergency,7947,3.94,45,97,72,56.46,High
Low,1,Flood,2405,9.8,2,7,3,15.2,Low
Medium,5,Medical Emergency,5194,6.45,48,47,46,37.16,Medium
Medium,17,Cyclone,4907,4.97,69,75,57,53.73,High
Low,4,Urban Fire,573,7.54,18,6,8,16.27,Low
High,17,Cyclone,6655,2.5,83,169,55,75.64,Severe
Medium,20,Medical Emergency,4528,2.69,50,117,66,54.18,High
Low,2,Flood,2132,8.77,11,8,25,16.94,Low
Medium,22,Urban Fire,6426,3.03,71,78,62,64.87,High
Low,3,Landslide,1144,7.5,4,15,2,15.43,Low
High,15,Forest Fire,9405,3.11,87,134,89,76.1,Severe
High,25,Urban Fire,9351,2.13,67,103,61,75.81,Severe
High,21,Earthquake,7977,1.97,81,82,65,73.79,Severe
Medium,5,Urban Fire,4929,3.24,33,31,22,36.6,Medium
High,20,Heatwave,7074,2.09,72,82,56,64.25,High
Low,2,Flood,745,8.93,13,15,20,16.88,Low
High,26,Landslide,9818,0.73,98,183,100,92.98,Critical
Low,5,Lightning,776,9.36,4,0,12,15.31,Low
Medium,15,Earthquake,5206,5.37,61,109,40,57.2,High
Low,3,Flood,1756,4.13,34,24,18,29.7,Moderate
Low,3,Flood,2799,8.34,30,27,20,27.24,Moderate
Medium,7,Medical Emergency,3854,7.96,25,7,36,30.6,Moderate
High,22,Flood,6123,1.01,69,90,70,67.45,Severe
Medium,12,Lightning,3201,6.04,37,33,58,38.23,Medium
Medium,9,Forest Fire,3156,6.66,50,35,46,41.46,Medium
High,28,Forest Fire,8915,0.8,98,143,90,84.51,Critical
Medium,9,Flood,2703,4.6,43,53,36,39.56,Medium
Medium,2,Heatwave,4265,6.24,36,15,40,33.06,Moderate
Medium,8,Heatwave,2822,7.9,26,28,28,30.73,Moderate
Medium,5,Urban Fire,3798,6.49,32,9,29,31.52,Moderate
Medium,14,Cyclone,4639,3.8,44,24,35,43.99,Medium
Medium,8,Landslide,3021,3.13,48,18,37,39.51,Medium
Medium,6,Flood,1144,7.48,34,28,19,31.74,Moderate
Low,2,Urban Fire,133,9.39,13,4,8,15.73,Low
High,21,Forest Fire,7863,3.68,77,92,88,68.37,Severe
Low,4,Urban Fire,1003,7.95,8,13,15,15.75,Low
Low,5,Urban Fire,2434,6.75,23,9,40,27.43,Moderate
High,26,Medical Emergency,8657,4.0,78,132,77,72.4,Severe
Medium,10,Cyclone,7823,5.69,53,116,51,56.75,High
Medium,10,Urban Fire,3627,8.38,40,6,26,31.25,Moderate
High,26,Flood,9314,3.16,73,132,83,78.58,Severe
High,18,Cyclone,4492,4.63,62,63,36,55.27,High
High,14,Earthquake,6785,4.07,60,86,68,64.67,High
Medium,6,Flood,3537,4.18,51,19,60,42.13,Medium
Low,7,Medical Emergency,3445,6.66,20,11,26,27.49,Moderate
High,26,Heatwave,9891,0.85,100,191,82,90.35,Critical
Low,0,Lightning,1460,9.37,12,10,14,14.14,Low
High,10,Flood,6647,5.69,64,100,35,58.56,High
High,28,Cyclone,8329,0.71,98,194,82,90.3,Critical
Medium,10,Heatwave,7761,3.68,59,80,35,51.1,High
High,26,Heatwave,9222,0.69,98,185,91,89.22,Critical
High,26,Cyclone,8066,0.74,88,155,80,85.77,Critical
Low,2,Urban Fire,388,8.3,7,8,13,15.08,Low
Low,0,Cyclone,120,8.29,12,2,9,13.92,Low
Medium,13,Earthquake,2905,6.28,54,15,53,42.34,Medium
Low,3,Cyclone,2684,4.49,18,26,24,27.68,Moderate
Low,4,Medical Emergency,2263,8.82,2,3,1,15.89,Low
Low,1,Lightning,1858,7.61,15,12,0,14.91,Low
High,26,Lightning,9292,1.21,100,174,85,86.26,Critical
Low,0,Forest Fire,657,9.12,18,3,4,12.31,Low
Low,7,Landslide,1271,8.85,23,31,10,22.06,Moderate
Medium,14,Cyclone,3796,4.51,42,35,56,43.96,Medium
Medium,13,Cyclone,3714,4.7,38,59,59,47.12,Medium
High,25,Medical Emergency,8940,0.57,99,186,77,85.95,Critical
Low,9,Heatwave,2749,7.04,25,13,26,26.94,Moderate
High,28,Cyclone,8234,0.44,90,184,95,86.65,Critical
High,22,Forest Fire,6538,2.32,49,87,66,63.56,High
High,29,Cyclone,8319,1.29,85,175,88,85.76,Critical
Low,0,Lightning,1539,9.85,10,4,7,12.03,Low
Low,4,Urban Fire,167,8.53,18,7,22,16.38,Low
Medium,12,Landslide,5776,5.69,52,66,24,44.97,Medium
High,14,Landslide,7974,2.03,63,58,38,59.71,High
Medium,22,Urban Fire,7737,3.04,69,78,53,64.42,High
Low,6,Heatwave,4236,4.34,24,21,27,29.45,Moderate
Low,3,Lightning,3132,8.8,34,32,30,26.56,Moderate
High,26,Cyclone,9389,1.71,91,199,92,85.62,Critical
High,21,Flood,7295,3.97,78,128,56,73.01,Severe
High,24,Flood,7809,2.94,74,98,68,70.15,Severe
Medium,8,Medical Emergency,3801,5.41,46,18,43,36.45,Medium
High,23,Lightning,8680,1.51,78,101,66,72.8,Severe
Low,0,Lightning,1230,6.76,3,14,2,16.93,Low
High,28,Forest Fire,8998,0.3,86,197,86,90.16,Critical
Medium,16,Earthquake,5386,5.74,54,98,50,53.95,High
High,17,Landslide,6463,1.68,86,111,89,74.73,Severe
Medium,7,Landslide,5518,6.98,54,24,55,44.44,Medium
High,24,Medical Emergency,7345,1.54,68,80,77,70.87,Severe
High,28,Cyclone,9424,1.44,88,137,88,86.55,Critical
Low,0,Forest Fire,2182,7.6,10,1,5,16.4,Low
Medium,10,Medical Emergency,3551,7.65,19,27,32,31.79,Moderate
Low,0,Urban Fire,1924,9.23,14,4,16,15.99,Low
Low,1,Urban Fire,110,6.18,0,7,1,15.22,Low
High,29,Flood,9399,1.82,92,183,83,86.91,Critical
High,29,Lightning,8684,0.14,88,139,75,84.16,Critical
High,24,Landslide,9019,0.16,98,185,81,85.6,Critical
Medium,12,Forest Fire,5268,3.73,67,100,45,54.92,High
High,30,Urban Fire,9604,1.2,91,157,82,88.27,Critical
Low,2,Heatwave,4177,5.96,32,20,15,24.81,Moderate
High,18,Heatwave,7933,1.48,84,92,82,69.25,Severe
High,13,Urban Fire,7921,5.21,73,83,75,61.08,High
High,15,Forest Fire,6396,5.36,54,45,45,55.03,High
High,17,Heatwave,8241,3.54,90,91,86,67.26,Severe
Medium,14,Flood,5415,5.14,35,26,29,41.09,Medium
Medium,15,Urban Fire,5643,4.97,44,27,38,46.61,Medium
Low,3,Urban Fire,3610,5.77,28,24,39,30.42,Moderate
Low,0,Lightning,655,9.47,5,1,8,11.16,Low
Medium,8,Landslide,3944,6.59,46,58,47,40.61,Medium
Medium,7,Heatwave,2361,8.09,37,29,31,33.14,Moderate
High,29,Medical Emergency,9541,0.56,88,173,79,85.64,Critical
High,16,Flood,8356,0.7,88,116,90,78.88,Severe
High,28,Flood,6326,1.53,77,95,72,71.7,Severe
Low,7,Urban Fire,4229,7.22,26,30,38,30.18,Moderate
Low,9,Lightning,3791,8.81,25,10,30,27.7,Moderate
High,21,Flood,7638,2.1,73,166,82,79.52,Severe
Low,3,Forest Fire,704,8.62,0,3,24,15.28,Low
Low,8,Urban Fire,1265,5.46,19,8,32,28.69,Moderate
High,28,Earthquake,8126,1.26,83,134,97,85.73,Critical
Low,4,Medical Emergency,842,8.45,24,11,19,15.13,Low
Medium,13,Urban Fire,4320,3.7,59,79,45,52.35,High
High,18,Forest Fire,9390,1.29,88,97,62,76.44,Severe
Medium,8,Flood,5343,3.57,37,34,28,40.96,Medium
Low,3,Forest Fire,1027,10.0,4,2,9,15.86,Low
Medium,6,Urban Fire,4875,4.41,34,15,28,37.86,Medium
High,24,Heatwave,7426,3.56,73,143,78,75.24,Severe
Low,2,Urban Fire,1833,9.86,17,6,22,16.57,Low
Medium,12,Landslide,5386,4.15,53,17,25,43.99,Medium
High,15,Cyclone,6421,2.41,68,145,81,68.19,Severe
Medium,11,Flood,5922,5.35,32,24,33,40.53,Medium
Medium,16,Urban Fire,7667,4.79,60,90,69,55.56,High
Medium,8,Flood,2621,3.4,31,68,24,40.78,Medium
Medium,7,Lightning,1631,5.44,36,9,14,28.35,Moderate
Medium,11,Cyclone,3327,3.64,34,16,36,42.96,Medium
Medium,2,Medical Emergency,3368,4.85,16,26,19,30.21,Moderate
High,19,Cyclone,8319,0.71,87,104,80,76.53,Severe
Medium,6,Flood,5306,6.38,59,45,51,42.25,Medium
High,25,Medical Emergency,6662,0.99,88,135,55,73.11,Severe
Medium,7,Landslide,4102,5.3,46,60,51,43.51,Medium
Medium,3,Heatwave,1127,5.18,37,23,22,30.91,Moderate
Low,1,Urban Fire,1278,8.77,1,12,12,14.56,Low
Medium,15,Earthquake,5041,6.52,53,18,52,49.97,Medium
High,24,Flood,8594,1.09,86,177,86,84.4,Critical
High,25,Cyclone,7516,3.35,65,118,74,72.64,Severe
Low,8,Heatwave,3511,8.6,37,21,38,26.21,Moderate
Medium,3,Lightning,3330,8.59,38,7,33,28.17,Moderate
Low,9,Medical Emergency,3042,6.72,15,24,38,26.22,Moderate
High,20,Heatwave,7492,2.0,70,148,72,69.66,Severe
High,23,Flood,6044,1.89,78,167,84,77.52,Severe
Medium,8,Urban Fire,3432,4.63,54,35,27,40.87,Medium
High,15,Lightning,6605,2.98,46,118,72,60.3,High
High,21,Forest Fire,6992,2.17,76,160,56,74.55,Severe
Medium,11,Forest Fire,5421,4.53,43,62,58,46.34,Medium
Medium,21,Cyclone,7795,5.79,70,98,42,63.47,High
Medium,6,Forest Fire,1139,4.12,17,6,40,31.96,Moderate
High,25,Forest Fire,7311,2.49,84,128,58,77.1,Severe
High,24,Forest Fire,7957,2.2,89,92,55,70.46,Severe
High,16,Flood,7326,2.82,88,120,55,67.91,Severe
Low,3,Earthquake,1041,7.51,4,3,0,16.76,Low
Low,7,Flood,4190,4.53,17,26,40,33.84,Moderate
High,24,Medical Emergency,6187,0.67,67,119,55,71.88,Severe
Medium,14,Heatwave,4523,5.24,44,29,21,42.8,Medium
High,23,Landslide,6464,3.74,79,134,78,70.9,Severe
Low,3,Medical Emergency,2261,5.83,23,9,19,19.08,Moderate
Low,3,Medical Emergency,127,8.01,4,14,5,11.6,Low
Low,5,Urban Fire,2382,7.39,20,15,27,21.36,Moderate
Low,0,Forest Fire,2097,6.93,8,11,7,15.59,Low
High,19,Urban Fire,7912,1.09,79,94,85,73.89,Severe
High,13,Cyclone,7972,4.77,62,118,51,64.27,High
Medium,10,Heatwave,3223,7.49,21,23,15,30.7,Moderate
Medium,15,Forest Fire,5756,5.08,67,93,48,54.14,High
High,30,Medical Emergency,9187,0.7,97,159,71,86.85,Critical
High,28,Flood,6088,2.42,75,134,85,79.37,Severe
Low,5,Urban Fire,2302,8.46,8,2,9,16.24,Low
Medium,11,Flood,4173,6.17,30,33,36,37.61,Medium
Medium,17,Heatwave,6344,4.95,59,83,50,55.27,High
High,21,Urban Fire,7371,2.6,86,134,64,75.98,Severe
Medium,9,Urban Fire,1957,5.9,37,17,25,32.88,Moderate
Medium,2,Landslide,3248,8.84,15,27,27,28.91,Moderate
High,21,Lightning,7295,3.21,49,57,35,57.09,High
Medium,8,Lightning,2782,6.73,36,10,25,30.4,Moderate
Low,2,Landslide,4178,7.1,25,28,12,27.31,Moderate
Medium,2,Heatwave,3147,4.21,32,23,14,30.82,Moderate
High,15,Forest Fire,7749,1.85,76,163,73,71.58,Severe
Low,3,Medical Emergency,345,9.89,4,8,2,7.83,Low
High,22,Cyclone,7174,0.89,66,162,57,76.17,Severe
Medium,5,Lightning,3296,6.19,22,10,32,32.21,Moderate
High,28,Flood,8583,0.69,95,134,78,86.69,Critical
High,22,Flood,9350,1.18,99,134,73,84.33,Critical
High,11,Earthquake,5513,4.29,46,106,44,54.91,High
High,16,Flood,7324,3.13,83,86,74,67.77,Severe
Medium,18,Cyclone,4952,2.08,69,55,54,56.38,High
Medium,6,Cyclone,5512,3.57,50,16,50,47.39,Medium
High,27,Landslide,9233,1.34,87,167,74,84.87,Critical
Low,0,Medical Emergency,659,6.78,12,15,13,16.85,Low
Medium,5,Forest Fire,3791,8.39,24,23,35,33.27,Moderate
High,18,Forest Fire,6698,3.14,86,169,60,70.43,Severe
Medium,12,Urban Fire,5999,3.63,31,40,36,44.94,Medium
High,19,Flood,8569,2.6,90,81,61,71.57,Severe
Low,1,Landslide,1023,7.38,16,9,2,16.77,Low
Medium,9,Heatwave,2027,6.81,33,6,22,28.08,Moderate
Low,4,Cyclone,2473,5.2,15,10,12,28.42,Moderate
Medium,20,Heatwave,7446,2.99,58,77,71,57.0,High
Medium,6,Forest Fire,5422,3.81,60,70,37,46.32,Medium
Medium,12,Heatwave,6974,2.77,56,96,49,54.73,High
High,23,Landslide,8320,1.06,88,188,90,85.79,Critical
Low,3,Urban Fire,1949,6.48,7,2,10,16.78,Low
Medium,8,Cyclone,5783,5.57,40,66,23,45.18,Medium
Low,7,Forest Fire,3362,6.88,35,22,15,31.74,Moderate
High,16,Medical Emergency,6743,2.11,70,104,86,68.48,Severe
High,25,Medical Emergency,9460,0.68,91,200,79,86.82,Critical
Medium,10,Lightning,3326,4.99,57,65,24,45.27,Medium
High,13,Urban Fire,4182,3.85,47,99,59,54.66,High
Low,4,Medical Emergency,3694,6.18,19,7,14,23.53,Moderate
Medium,11,Heatwave,7152,3.85,60,94,36,50.22,High
High,14,Forest Fire,6712,5.93,55,66,64,58.68,High
High,26,Earthquake,8346,1.79,75,128,55,76.74,Severe
Medium,10,Lightning,3148,5.05,21,24,11,31.28,Moderate
Medium,15,Urban Fire,4377,6.76,57,70,54,46.1,Medium
Medium,8,Cyclone,3273,8.75,22,9,20,32.34,Moderate
Medium,15,Heatwave,5165,4.67,71,113,43,55.98,High
Low,8,Lightning,2324,6.25,20,19,28,29.24,Moderate
Medium,5,Forest Fire,3244,4.8,30,17,12,32.13,Moderate
Medium,20,Flood,7843,2.82,47,62,72,59.87,High
